profile,kp,ki,bias,integral_limit,max_temperature_C,mean_abs_temp_error_C,rms_temp_error_C,time_above_safe_s,total_cooling_effort,mean_cooling_action,action_variation,total_reward,failed
Random,0.06,0.001,0.2,100.0,38.276511430812455,3.346997450154577,4.0078122959902265,0.0,498.0697815690073,0.27670543420500404,0.5298716425895691,-295.77474416130843,False
Constant,0.06,0.001,0.2,150.0,38.29851112128289,3.327842156953786,3.92688310628016,0.0,565.2942064858216,0.3140523369365676,0.5840153694152832,-286.0473772387214,False
Step,0.06,0.001,0.2,150.0,40.931991991895764,5.2533468379284125,5.669101549732955,0.0,667.533248324049,0.3708518046244717,0.7388905882835388,-591.4220998619902,False
Pulsed,0.06,0.001,0.2,150.0,38.435224367973696,3.1097192404735385,3.723712215424107,0.0,540.116494585207,0.30006471921400385,1.089273452758789,-257.43624040755253,False
Random,0.06,0.001,0.2,150.0,37.99335066620815,3.243852983496649,3.925513490230839,0.0,522.8237709456153,0.2904576505253418,0.5711195170879364,-284.9381216155395,False
Constant,0.06,0.001,0.25,40.0,38.58651974120042,3.3627211694625294,3.9948312876070937,0.0,547.9158990370343,0.3043977216872413,0.5286075472831726,-294.48967079724366,False
Step,0.06,0.001,0.25,40.0,41.29029411981773,5.329532539683017,5.786640665458487,0.0,647.9282328471309,0.35996012935951716,0.691172182559967,-614.2108892083735,False
Pulsed,0.06,0.001,0.25,40.0,38.678609729345276,3.133039146581099,3.769914433974216,0.0,524.6876092939056,0.29149311627439195,0.9793673455715179,-262.45815277550287,False
Random,0.06,0.001,0.25,40.0,38.21443352929067,3.2532539179280158,3.9665338650294264,0.0,506.55613454512786,0.28142007474729325,0.5112347304821014,-289.57274190711144,False
Constant,0.06,0.001,0.25,75.0,38.35586572694573,3.2723710798710473,3.914667193950974,0.0,564.1364925799426,0.31340916254441253,0.5546324849128723,-283.7171362848128,False
Step,0.06,0.001,0.25,75.0,41.03502054208639,5.231621805308219,5.680769578743692,0.0,664.7580265708966,0.36931001476160924,0.7144226431846619,-593.1359696986617,False
Pulsed,0.06,0.001,0.25,75.0,38.468892297932946,3.0479519390704364,3.6992944378389794,0.0,539.9237205651589,0.2999576225361994,1.0205305814743042,-253.5811301242435,False
Random,0.06,0.001,0.25,75.0,38.012777423582094,3.176507390947931,3.904403100322326,0.0,522.0454096533795,0.2900252275852108,0.5389072000980377,-281.37395219657475,False
Constant,0.06,0.001,0.25,100.0,38.201316631617345,3.213341144937735,3.864006932393735,0.0,576.0262077308726,0.32001455985048477,0.5742197632789612,-277.1085566064476,False
