kp,ki,bias,integral_limit,mean_total_reward,worst_max_temperature_C,mean_abs_temp_error_C,mean_rms_temp_error_C,total_time_above_safe_s,mean_total_cooling_effort,mean_action_variation,any_failure
0.16,0.006,0.2,150.0,-260.79662061129176,37.75592985087387,2.344315042186894,3.609293960672374,0.0,851.3079730942845,1.7519725561141968,False
0.12,0.004,0.25,100.0,-260.8225859111529,37.90886826548198,2.480393612699604,3.6316401529588926,0.0,808.1613904977858,1.3389856219291687,False
0.2,0.006,0.1,150.0,-260.8689447570724,37.75784013894663,2.3435992170006275,3.6103202236081495,0.0,850.1565008575708,1.88077212870121,False
0.12,0.004,0.25,150.0,-261.0338434734275,37.79072780423968,2.3836092200718406,3.615919661428657,0.0,840.7197233751467,1.7059761434793472,False
0.16,0.004,0.15,150.0,-261.1127286283786,37.794081774927875,2.4182046853709185,3.621990504101416,0.0,830.4560078461445,1.705323413014412,False
0.2,0.006,0.2,40.0,-261.26552765860674,37.87936007392663,2.6127581059159324,3.6549445761447723,0.0,764.8105653283128,1.5064843893051147,False
0.12,0.006,0.25,150.0,-261.34319208715755,37.780150732461905,2.3525038450073983,3.6123244145497244,0.0,852.1083508206066,1.6593740433454514,False
0.16,0.006,0.15,150.0,-261.3604029785976,37.78113734011951,2.35234771964002,3.6132357013259924,0.0,850.1686123445397,1.765588253736496,False
0.2,0.006,0.05,150.0,-261.42627013290945,37.78176699569914,2.3515361851914025,3.6142481212309363,0.0,849.0103217049327,1.8972435891628265,False
0.16,0.006,0.1,75.0,-261.5257063104218,37.88457146174493,2.558582285245958,3.645475900988359,0.0,785.8301548068412,1.4638164639472961,False
0.2,0.004,0.1,100.0,-261.60187882333594,37.7877026965719,2.5864886899513495,3.648870952661573,0.0,781.2689543083543,1.5321462005376816,False
0.2,0.004,0.05,150.0,-261.7158548274595,37.796395483180895,2.465880231043484,3.631900067830465,0.0,819.629375290504,1.729654923081398,False
0.06,0.006,0.2,100.0,-261.72611856445155,37.994651981593066,2.4174009292728345,3.626986067210214,0.0,820.464120467921,1.5512400269508362,False
0.12,0.004,0.2,150.0,-261.78610329420786,37.826477746270115,2.4193854970262625,3.6247823926807152,0.0,831.9173638034845,1.64388906955719,False
0.1,0.004,0.25,150.0,-261.79141817908436,37.82563561767731,2.403060306691708,3.621887933896088,0.0,837.2213310516654,1.6619341671466827,False
0.08,0.006,0.15,100.0,-261.8686490407958,37.97387047212837,2.4466282613463775,3.6316640543053897,0.0,813.8751060242066,1.484067142009735,False
0.08,0.006,0.25,75.0,-261.8895796685556,38.1693246679973,2.458531166478409,3.6362207286322272,0.0,805.4719814560376,1.3229192346334457,False
0.12,0.006,0.2,150.0,-261.93298841018463,37.80653984319814,2.3612074771270004,3.6164708151017964,0.0,850.7852898712736,1.6648880243301392,False
0.16,0.006,0.1,150.0,-261.93995401540656,37.806137294884216,2.3607989453939635,3.6173117932461785,0.0,848.9983780285111,1.7838475108146667,False
0.1,0.006,0.25,150.0,-261.9527146712306,37.80663336164083,2.36122019573861,3.616081394294342,0.0,852.1294834981381,1.6243887543678284,False
0.2,0.002,0.25,100.0,-262.1526262322821,37.87391398346913,2.6323633425416677,3.661136354666848,0.0,766.1738855323638,1.432733342051506,False
0.16,0.004,0.1,150.0,-262.25035178851857,37.82741274049544,2.4649721403662714,3.633879136195298,0.0,821.7248984808102,1.653454065322876,False
0.1,0.006,0.1,100.0,-262.3103227956574,37.954162206411205,2.4806234103325147,3.6380854263728555,0.0,809.0350292967632,1.4532980620861053,False
0.16,0.006,0.25,40.0,-262.4017921345692,38.06767373172647,2.6113388462510367,3.6613197999816833,0.0,765.0887958028616,1.363681048154831,False
0.2,0.002,0.2,150.0,-262.5048534936919,37.81094140894336,2.610089085272191,3.6570264182643237,0.0,779.5283480189064,1.4896821528673172,False
0.16,0.006,0.05,150.0,-262.5344256187146,37.831299106635306,2.3700349381273833,3.621567532724549,0.0,847.6616216207622,1.8127139657735825,False
0.12,0.006,0.15,150.0,-262.5356749943837,37.83303333277884,2.370326903189266,3.620741293570413,0.0,849.422416342306,1.6778217554092407,False
0.1,0.006,0.2,150.0,-262.5633510243203,37.83388145107759,2.370445781113328,3.620396441184213,0.0,850.7264082782203,1.6312576532363892,False
0.08,0.006,0.25,150.0,-262.61156901472947,37.8346723846843,2.3709053691163393,3.6200968524072437,0.0,852.3220079210005,1.598640888929367,False
0.2,0.004,0.15,75.0,-262.6199047927977,37.87518399259907,2.6383617473704932,3.6629981475988007,0.0,765.6010057841195,1.4992878586053848,False
0.1,0.006,0.2,75.0,-262.62493090849836,38.14095237532457,2.5058146662700898,3.6450955709427273,0.0,799.7320540005167,1.3016187995672226,False
0.16,0.004,0.15,100.0,-262.6305808339648,37.900757687687296,2.583368196792044,3.6539698444216437,0.0,784.1432662792358,1.4144083261489868,False
0.08,0.004,0.25,150.0,-262.6716935227208,37.86342917700115,2.426727160657963,3.629017723829117,0.0,832.8056547851727,1.6083538234233856,False
0.1,0.004,0.2,150.0,-262.70222025439193,37.86306753860832,2.4440024942557455,3.6323361803541734,0.0,827.5810229738636,1.577332243323326,False
0.2,0.004,0.25,40.0,-262.86812264120175,37.95999217132056,2.6562218859982263,3.671034438634747,0.0,754.9400803162425,1.4488321244716644,False
